Establishment,Type,Area,Location,Address,Description,Opening hours,Phone,Email,Website,Social media
About Thyme,Restaurant,Nairobi,Westlands,"Corner of Eldama Ravine Road and
Peponi Road, Nairobi, Kenya
","About Thyme offers an eclectic menu with imaginative, well-prepared and beautifully presented dishes from around the world. Intimate dining in a leafy, secluded area of Westlands where good food and drinks can be enjoyed in a tranquil setting.                                      ",Opening times Tue – Sat: 12 noon – 10pm Sun: 10am – 3 pm Mon: Closed,0721850026,,,
Afghan House,Restaurant,Nairobi,Karen,"Upper Ground Floor
The Hub Mall, Karen
",Afghan House specialises in delicious homemade Afghan/Asian food and mouthwatering Baklava. All our food is prepared with true authentic flavors of the region. Come and savour the delectable cuisine of Kenya's first Afghan Restaurant. ,Mon - Sun: 9:00am - 8:00pm,0717781815 / 0787774002,afghanhouse@gmail.com,,
Asian Gardens,Restaurant,Nairobi,Gigiri,"Warwick Center
UN Avenue, Gigiri
Nairobi, Kenya
","Asian Gardens now open at Warwick Center on UN Avenue has become one of Nairobi's restaurants for a wide selection of asian foods. The restaurant atmosphere is amazing with both indoor and outdoor garden settings to give you a memorable dining experience. Our multicuisine menu comprises of sushi & sashimi, teppanyaki, japanese, korean, thai, indian cuisines with varieties such as starters, teppan a la carte, noodle bar, rice, bento box, sashimi donburi, wagammama(ramen) among others.",,0712 848 770 / 0727 329 937,info@asianbykhazanah.com,,
Big Elephant,Restaurant,Nairobi,Parklands,"Valley View Office Park, City Park
Drive, Limuru Road
","The Big Elephant Café is a metropolitan restaurant that boasts an eclectic space perfect for fine dining and parties! The fusion cuisine we offer ensures there’s something for everyone! Visit our restaurant at Valley View Office Park, along City Park Dr, Limuru Road.",,0798362771,,,
Cake Tale,Restaurant,Nairobi,Online,Online,Give your taste buds a great experience with our delectable cakes from Cake Tale Kenya. Let us introduce you to new exciting flavours as well as our trusty loved cakes.,,0723167564,,,"
www.facebook.com/caketaleke"
Carnivore,Restaurant,Nairobi,Langata,"Langata Road, Nairobi, Kenya
","The Carnivore popularly known as the ultimate beast of a feast, is a 'must do’ eatertainment experience that makes your visit feel like an adventure. It is a rustic, exhilarating culinary encounter that is imbued with the excitement of Africa from the theatre of the meat feast, the energy of Dr Dawa, the festive mood of the servers, and the communal eating, it vibrates with a party atmosphere.",,0733611608 / 0722204647,reservations.carnivore@tamarind.co.ke,www.carnivore.co.ke,
Cheers,Restaurant,Nairobi,Parklands,"Sky Mall, Fourth Avenue, Parklands
Diamond Plaza
Junction Mall
","Cheers Bakery and Café is the go to bakery for the best cakes and pastries. We have an array of sweet treats ranging from cupcakes to fresh breaks! We also customize cakes for different events - you name it, we bake it! Another special on our menu are our gourmet pizzas! With every one pizza you buy you get one absolutely free. You can find us at Sky Mall, Diamond Plaza, and The Junction Mall.",,0716255613,,www.cheerskenya.com,
Cherry Blossom,Restaurant,Nairobi,Online,,"Cherry Blossom offers you the best quality cakes and pastries for parties, occasions and meetings. Get the best tasting cakes, cupcakes, cinnamon rolls, donuts and muffins. All our products are delivered to your home, of ice or party so that all you have to do is enjoy eating and sharing what we make.",,0701068223 / 0736914614,,,"
Instagram: cherryblossompastries_ke"
Clay Oven,Restaurant,Nairobi,Westlands,"Ground Floor, Fuji Plaza, Crossway
Road Westlands

","Clay Oven Restaurant offers the most authentic Indian Cuisine, expertly prepared by Chefs from Delhi. This is your first choice for quick and tasty dishes made from a Clay Oven, enjoy Indian delicacies made using a variety of spices and ingredients to create a distinct and individual taste. We are strategically located at the heart of Westlands to cater for all including busy professionals within the locality. Our speedy service will amaze you, not to mention, Special Lunch offer is on every Tuesday to Friday. You will be delighted by the ambience of tranquility we have to offer as we are just overlooking the busy Chiromo Road.
","OPEN for Lunch and Dinner Every
Tuesdays-Sundays",0708 778877/0737998899,info@clayoven.co.ke,www.clayoven.co.ke,Facebook: Clay Oven KE Twitter: @ClayOven254
Debonairs Pizza,Restaurant,Nairobi,"CBD, Westlands, Ngong Road, Kiambu","Muindi Mbingu Street, Waiyaki Way Total ABC, Ngong Road Uchumi Hyper, Kiambu Road Quickmart  
","Debonairs Pizza is without a doubt Kenya's best Pizza. We pride ourselves in consistently giving our clients the best quality meals with a guarantee. Our specialized team has continually come up with new flavors and recipes to ensure customer satisfaction. We offer a wide selection of Pizza ranging from Something meaty, Tikka Chicken and even veggie pizzas to suite all your needs. Never miss a chance to try something amazing",,0708749927 / 0774749927,customercare@debonairs.co.ke,www.debonairs.co.ke,
