Restaurants,Code:Voucher 1,Code:Voucher 2,Code:Voucher 3,Location,offer,condition
About Thyme,74Q4F,GFD2P,,Westlands,"Get one Free Lunch Main Course
when a Lunch Main Course is bought
(a la carte menu only). Valid only on Tuesday to Friday","Get one Free Glass of Wine
when a Glass of Wine
is bought."
Afghan House,1C4AY,7U3MU,,Karen,"Get one Free Main Dish
when a Main Dish
is bought. (Excluding the mixed platter)",
Asian Gardens,3DGGC,4FO8E,,Gigiri,"Get one Free Main Course
when a Main Course
is bought.",
Big Elephant,SPG9E,F0XVJ,11XKK,Parklands,"Get one Free Cocktail
when a Cocktail
is bought.",
Cake Tale,R25B6,3DI5K,,Online,"Get one 2kg Cake
for the price of
a 1kg Cake",
Carnivore,AZPQT,C07X7,,Langata,"Get one Free Main Course
when a Main Course
is bought. Valid only on Monday & Tuesday",
Cheers,B02E3,XKXVY,173ZN,Parklands,"Get one Free 1kg Cake
when a 1kg Cake
is bought. Valid only at Sky Mall","Get one Free Cupcake
when a cupcake
is bought.Valid only at Sky Mall"
Cherry Blossom,WDBTR,DBIUS,,Online,"Get Four Free Cupcakes
when Four Cupcakes
are bought.",
Clay Oven,OOB1N,LVCY5,,Westlands,"Get one Free Vegetarian Main Course
when a Main Course
is bought.",
Haru Restaraunt,OR8G9,ETU3V,,Karen,"Get one Free Main Course
when a Main Course
is bought.",
Khazanah,7X4I2L,QOUH1,,Gigiri,"Get one Free Main Course
when a Main Course
is bought.",
Kilele,LPEZR,D8U49,,Westlands,"Get one Free Lunch Main Course
when a Main Course
is bought.",
Little Cake Girl,DLUX2,MIP8W,,Kiambu Road,"Get one Free 1kg Cream Cake
when a 1kg Cake is bought
(order at least 3 days in advance).",
Mister Wok,DVDKV,H0R2E,173ZN,Parklands,"Get one Free Main Course
when a Main Course
is bought.",
Mister Wok,AU03Y,Z5OEJ,6YJOT,Two Rivers,"Get one Free Main Course
when a Main Course
is bought.",
Mister Wok,VBPRC,ZLK92,D40NV,The Hub,"Get one Free Main Course
when a Main Course
is bought.",
Mister Wok,BBG6J,VF89M,HQ7MI,Mbsa Road,,
Moca Loca,DAIMR,PFBJB,,Thika Road,"Get one Free Main Course
when a Main Course
is bought.","Get one Free Appetiser
when an Appetiser
is bought."
Muna Tree,ZX201,KWYEJ,,Limuru,"Get one Free Entree
when an Entree
is bought.","Get one Free Pizza
when a Pizza
is bought."
Palm Cafe,0MXLM,WK30I,,Aboretum,"Get one Free Main Course
when a Main Course
is bought.",
Pampa,NTU6S,IT4EP,TFM7E,Lavington,"Get one Free Main Course
when a Main Course
is bought. Valid Monday to Thursday","Get one Free Cocktail
when a Cocktail
is bought. Valid daily before 8pm"
Pete's,7BEGR,P6X4I,,Ngong Road,"Get one Free Main Meal
when a Main Meal
is bought.",
Picazzo,W82DA,Z9A1H,,Karen ,"Get one Free Tapas
when a Tapas
is bought. Valid from Monday to Friday",
Que Pasa,ME3GW,6B3F6,,Karen,"Get one Free Breakfast
when a Breakfast
is bought.",
Rue 104,XSJ97,QRXWS,,Town,"Get one Free Dinner Main Course
when a Dinner Main Course
is bought.","Get one Free Cocktail
when a Cocktail
is bought."
Thai Village,FPNZ9,LHYNG,,Gigiri,"Get one Free Main Course
when a Main Course
is bought.",
The Arbor,XPWS1,AC64O,,Lavington,"Get one Free Breakfast
when a Breakfast
is bought.","Get one Free Cocktail
when a Cocktail
is bought. Valid only on Tuesday to Thursday"
The Concord,B52P9,99PGI,,Parklands,"Get one Free Brunch & Swim
when a Brunch
is bought.",
The Grove,VFVZ9,R47I2,,Riverside,"Get one Free Burger
when a Burger
is bought.","Get one Free Biting
when a Biting
is bought."
The Mayura,ODS0M,EA9GN,,Karen,Get one FREE BITING when a Biting is bought.,"Get one Free Drink
when a Drink
is bought."
The Mayura,CABZS,VLBOD,,Westlands,Get one FREE BITING when a Biting is bought.,"Get one Free Drink
when a Drink
is bought."
The Node,W6QEI,9L1TX,,Westlands,"Get one Free Main Course
when a Main Course
is bought.",
