description,condition,code
Get one FREE GLASS OF WINE when a Glass of Wine of equal or greater value is bought.,none,GFD2PVW9
Get one FREE SAME MAIN COURSE when a Main Course of equal or greater value is bought.,none,1CC7R37F
Get one FREE SAME MAIN COURSE when a Main Course of equal or greater value is bought.,none,NC1LPZMM
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,3DGGCXS7
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,4FO8EESE
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,3JMWJUKX
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,S4QMJ88F
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,Valid only on Monday to Friday,TFM21MSM
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,Valid only on Monday to Friday,6TYBLZP8
Get one FREE 1KG CAKE when a 1kg Cake of equal or greater value is bought.,none,R25B6OIR
Get one FREE 1KG CAKE when a 1kg Cake of equal or greater value is bought.,none,3DI5KNP8
Get one FREE LUNCH MAIN COURSE when a Lunch Main Course of equal or greater value is bought.,Valid only on Monday to Friday,AZPQT2IH
Get one FREE LUNCH MAIN COURSE when a Lunch Main Course of equal or greater value is bought.,Valid only on Monday to Friday,C07X76ND
Get one FREE VEGETARIAN MAIN COURSE when a Main Course of equal or greater value is bought.,"Minimum spend of KES2,000",OOB1NGKJ
Get one FREE VEGETARIAN MAIN COURSE when a Main Course of equal or greater value is bought.,"Minimum spend of KES2,000",LVCY56OZ
Get one FREE COFFEE & PASTRY when a Coffee & Pastry of equal or greater value is bought.,none,S6JA8TP1
Get one FREE COFFEE & PASTRY when a Coffee & Pastry of equal or greater value is bought.,none,2HSDCFBM
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,CND40Y5C
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,ANDYYHV3
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,7X4I2LB6
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,QOUH1SQA
Get one FREE LUNCH MAIN COURSE when a Lunch Main Course of equal or greater value is bought.,none,LPEZRQVQ
Get one FREE LUNCH MAIN COURSE when a Lunch Main Course of equal or greater value is bought.,none,D8U49JT2
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,RJXK3O0F
Get one FREE COCKTAIL when a Cocktail of equal or greater value is bought.,Valid Before 7pm,6K3JHCXJ
Get one FREE CHICKEN LOLLIPOP when a Chicken Lollipop of equal or greater value is bought.,none,PUE2JOBF
Get one FREE CHICKEN LOLLIPOP when a Chicken Lollipop of equal or greater value is bought.,none,S6MQ93HC
Get one FREE LUNCH MAIN COURSE when a Lunch Main Course of equal or greater value is bought.,none,T372APMH
Get one FREE DINNER MAIN COURSE when a Dinner Main Course of equal or greater value is bought.,none,LGF569AI
Get one FREE DINNER MAIN COURSE when a Dinner Main Course of equal or greater value is bought.,none,7UYELNIX
Get one Free COCKTAIL when a cocktail of equal or greater value is bought.,Valid from 4pm to 7pm,WJ1UPNU4
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,DAIMR2DN
Get one FREE APPETISER when an Appetiser of equal or greater value is bought.,none,PFBJBE8Q
Get one FREE ENTREE when a Entree of equal or greater value is bought.,none,ZX20164R
Get one FREE PZZA when a Pizza of equal or greater value is bought.,none,KWYEJJWE
Get one FREE MVULI CHICKEN WINGS when a Mvuli Chicken Wings of equal or greater value is bought.,none,5EJUT702
Get one FREE MVULI CHICKEN WINGS when a Mvuli Chicken Wings of equal or greater value is bought.,none,PGPP1W6Z
Get one FREE PIZZA when a Pizza of equal or greater value is bought.,none,L1XDI7JX
Get one FREE PIZZA when a Pizza of equal or greater value is bought.,none,UWTUHK9L
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,0MXLM3NV
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,WK30IGO2
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,Valid Only on Monday,NTU6SB7Z
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,Valid Only on Monday,IT4EPP1P
Get one FREE MAIN MEAL when a Main Meal of equal or greater value is bought.,"Main Meal = Burritos, Tacos or Quesadillas",7BEGRP7O
Get one FREE MAIN MEAL when a Main Meal of equal or greater value is bought.,"Main Meal = Burritos, Tacos or Quesadillas",P6X4INI5
Get one FREE CLASSICO BURGER when a Double Decker Burger is bought.,Valid Only on Tuesday,ME3GW1I7
Get one FREE CLASSICO BURGER when a Double Decker Burger is bought.,Valid Only on Tuesday,6B3F6BCD
Get one FREE COCKTAIL when a Cocktail of equal or greater value is bought.,Valid only on Saturday & Sunday,US1JA9Z9
Get one FREE COCKTAIL when a Cocktail of equal or greater value is bought.,Valid only on Saturday & Sunday,TR7VMOQA
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,FPNZ90CI
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,LHYNG1AU
Get one FREE COCKTAIL when a Cocktail of equal or greater value is bought.,Valid from Tuesday to Thursday,XPWS12VA
Get one FREE COCKTAIL when a Cocktail of equal or greater value is bought.,Valid from Tuesday to Thursday,AC64O9TT
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,Dinning Area,PX3JFXG1
Get one FREE PIZZA when a Pizza of equal or greater value is bought.,Roof Top & Terrace,63HOE2VZ
Get one FREE SANDWICH when a Sandwich of equal or greater value is bought.,Café Chumba Coffe Room,3J3863EP
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,I74S1P5L
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,XEQF6UUV
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,MRS6VVM3
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,E3UJM42P
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,Y7BGY8K8
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,2914V9OP
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,V23Q10UW
Get one FREE MAIN COURSE when a Main Course of equal or greater value is bought.,none,J6GUSTCR
Get one FREE NIGHT when Four Nights of the Deluxe Room are bought.,none,DJ5G5VQ3
Get one FREE NIGHT when Four Nights of the Deluxe Room are bought.,none,KAEZI7BV
Get one FREE GLASS OF WINE when a Main Course of equal or greater value is bought.,none,CRFSH5ES
Get one FREE GLASS OF WINE when a Main Course of equal or greater value is bought.,none,MAUO2YAZ
Get one FREE MEAL & GLASS OF WINE when Three Nights are bought.,none,IPQULQGJ
Get one FREE MEAL & GLASS OF WINE when Three Nights are bought.,none,FI9GKBQ8
Get one FREE NIGHT when Three Nights are bought.,none,C0P28QEU
Get one FREE NIGHT when Three Nights are bought.,none,52PM9L01
Get one FREE TOUR when a Tour of equal or greater value is bought (adults only).,none,3EUGE8EZ
Get one FREE TOUR when a Tour of equal or greater value is bought (adults only).,none,8421IPX8
Get one FREE NIGHT when Three Nights are bought.,none,9YLDRUFG
Get one FREE NIGHT when Three Nights are bought.,none,RYU8VBWC
Get one FREE DINNER AT CHUI GRILL when Four Nights are bought.,none,LL4QX2M0
Get one FREE DINNER AT CHUI GRILL when Four Nights are bought.,none,4BPERZM2
Get one FREE NIGHT when Five Nights are bought,none,VZKUYTDW
Get one FREE NIGHT when Five Nights are bought,none,8CA1103G
Get one FREE ONE HOUR SPA TREATMENT when Four Nights are bought.,none,SE9NAWT0
